pattern,alg
010011010110,"['l', ""r'"", 'f', 'l', 'f', ""l'"", ""f'"", 'r', 'l2', 'b', 'l', ""b'""]"
011010110010,"['b', ""f'"", 'l', 'b', 'l', ""b'"", ""l'"", 'f', 'b2', 'r', 'b', ""r'""]"
110000001010,"[""r'"", ""u'"", 'f', 'u', 'r', ""u'"", ""r'"", ""f'"", 'r']"
000001010110,"[""f'"", ""u'"", 'l', 'u', 'f', ""u'"", ""f'"", ""l'"", 'f']"
001010110000,"[""l'"", ""u'"", 'b', 'u', 'l', ""u'"", ""l'"", ""b'"", 'l']"
010110000001,"[""b'"", ""u'"", 'r', 'u', 'b', ""u'"", ""b'"", ""r'"", 'b']"
100000011010,"['r', 'u', ""b'"", ""u'"", ""r'"", 'u', 'r', 'b', ""r'""]"
000011010100,"['f', 'u', ""r'"", ""u'"", ""f'"", 'u', 'f', 'r', ""f'""]"
011010100000,"['l', 'u', ""f'"", ""u'"", ""l'"", 'u', 'l', 'f', ""l'""]"
010100000011,"['b', 'u', ""l'"", ""u'"", ""b'"", 'u', 'b', 'l', ""b'""]"
000111010000,"[""b'"", ""u'"", ""r'"", 'u', 'r', 'b']"
111010000000,"[""r'"", ""u'"", ""f'"", 'u', 'f', 'r']"
010000000111,"[""f'"", ""u'"", ""l'"", 'u', 'l', 'f']"
000000111010,"[""l'"", ""u'"", ""b'"", 'u', 'b', 'l']"
000000010111,"['b', 'u', 'l', ""u'"", ""l'"", ""b'""]"
000010111000,"['r', 'u', 'b', ""u'"", ""b'"", ""r'""]"
010111000000,"['f', 'u', 'r', ""u'"", ""r'"", ""f'""]"
111000000010,"['l', 'u', 'f', ""u'"", ""f'"", ""l'""]"
100011010000,"[""r'"", ""u'"", 'r', ""u'"", ""r'"", 'u', 'r', 'u', 'r', ""b'"", ""r'"", 'b']"
011010000100,"[""f'"", ""u'"", 'f', ""u'"", ""f'"", 'u', 'f', 'u', 'f', ""r'"", ""f'"", 'r']"
010000100011,"[""l'"", ""u'"", 'l', ""u'"", ""l'"", 'u', 'l', 'u', 'l', ""f'"", ""l'"", 'f']"
000100011010,"[""b'"", ""u'"", 'b', ""u'"", ""b'"", 'u', 'b', 'u', 'b', ""l'"", ""b'"", 'l']"
010110001000,"['r', 'u', ""r'"", 'u', 'r', ""u'"", ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
110001000010,"['f', 'u', ""f'"", 'u', 'f', ""u'"", ""f'"", ""u'"", ""f'"", 'l', 'f', ""l'""]"
001000010110,"['l', 'u', ""l'"", 'u', 'l', ""u'"", ""l'"", ""u'"", ""l'"", 'b', 'l', ""b'""]"
000010110001,"['b', 'u', ""b'"", 'u', 'b', ""u'"", ""b'"", ""u'"", ""b'"", 'r', 'b', ""r'""]"
011010100101,"['f', 'r', 'u', ""r'"", ""u'"", 'r', 'u', ""r'"", ""u'"", ""f'""]"
010100101011,"['l', 'f', 'u', ""f'"", ""u'"", 'f', 'u', ""f'"", ""u'"", ""l'""]"
100101011010,"['b', 'l', 'u', ""l'"", ""u'"", 'l', 'u', ""l'"", ""u'"", ""b'""]"
101011010100,"['r', 'b', 'u', ""b'"", ""u'"", 'b', 'u', ""b'"", ""u'"", ""r'""]"
110101001010,"[""f'"", ""l'"", ""u'"", 'l', 'u', ""l'"", ""u'"", 'l', 'u', 'f']"
101001010110,"[""l'"", ""b'"", ""u'"", 'b', 'u', ""b'"", ""u'"", 'b', 'u', 'l']"
001010110101,"[""b'"", ""r'"", ""u'"", 'r', 'u', ""r'"", ""u'"", 'r', 'u', 'b']"
010110101001,"[""r'"", ""f'"", ""u'"", 'f', 'u', ""f'"", ""u'"", 'f', 'u', 'r']"
010111000101,"[""r'"", ""f'"", 'l', ""f'"", ""l'"", 'f', 'l', ""f'"", ""l'"", 'f2', 'r']"
111000101010,"[""f'"", ""l'"", 'b', ""l'"", ""b'"", 'l', 'b', ""l'"", ""b'"", 'l2', 'f']"
000101010111,"[""l'"", ""b'"", 'r', ""b'"", ""r'"", 'b', 'r', ""b'"", ""r'"", 'b2', 'l']"
101010111000,"[""b'"", ""r'"", 'f', ""r'"", ""f'"", 'r', 'f', ""r'"", ""f'"", 'r2', 'b']"
010101000111,"['l', 'f', ""r'"", 'f', 'r', ""f'"", ""r'"", 'f', 'r', 'f2', ""l'""]"
101000111010,"['b', 'l', ""f'"", 'l', 'f', ""l'"", ""f'"", 'l', 'f', 'l2', ""b'""]"
000111010101,"['r', 'b', ""l'"", 'b', 'l', ""b'"", ""l'"", 'b', 'l', 'b2', ""r'""]"
111010101000,"['f', 'r', ""b'"", 'r', 'b', ""r'"", ""b'"", 'r', 'b', 'r2', ""f'""]"
100111011000,"['r', ""b'"", 'r2', 'f', 'r2', 'b', 'r2', ""f'"", 'r']"
111011000100,"['f', ""r'"", 'f2', 'l', 'f2', 'r', 'f2', ""l'"", 'f']"
011000100111,"['l', ""f'"", 'l2', 'b', 'l2', 'f', 'l2', ""b'"", 'l']"
000100111011,"['b', ""l'"", 'b2', 'r', 'b2', 'l', 'b2', ""r'"", 'b']"
110111001000,"[""r'"", 'f', 'r2', ""b'"", 'r2', ""f'"", 'r2', 'b', ""r'""]"
111001000110,"[""f'"", 'l', 'f2', ""r'"", 'f2', ""l'"", 'f2', 'r', ""f'""]"
001000110111,"[""l'"", 'b', 'l2', ""f'"", 'l2', ""b'"", 'l2', 'f', ""l'""]"
000110111001,"[""b'"", 'r', 'b2', ""l'"", 'b2', ""r'"", 'b2', 'l', ""b'""]"
010001010100,"['r', 'u', ""r'"", ""u'"", ""b'"", ""r'"", 'f', 'r', ""f'"", 'b', ""z'""]"
001010100010,"['f', 'u', ""f'"", ""u'"", ""r'"", ""f'"", 'l', 'f', ""l'"", 'r', ""z'""]"
010100010001,"['l', 'u', ""l'"", ""u'"", ""f'"", ""l'"", 'b', 'l', ""b'"", 'f', ""z'""]"
100010001010,"['b', 'u', ""b'"", ""u'"", ""l'"", ""b'"", 'r', 'b', ""r'"", 'l', ""z'""]"
000111000010,"[""r'"", ""u'"", ""r'"", 'f', 'r', ""f'"", 'u', 'r']"
111000010000,"[""f'"", ""u'"", ""f'"", 'l', 'f', ""l'"", 'u', 'f']"
000010000111,"[""l'"", ""u'"", ""l'"", 'b', 'l', ""b'"", 'u', 'l']"
010000111000,"[""b'"", ""u'"", ""b'"", 'r', 'b', ""r'"", 'u', 'b']"
110000011000,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
000011000110,"['f', 'u', ""f'"", ""u'"", ""f'"", 'l', 'f', ""l'""]"
011000110000,"['l', 'u', ""l'"", ""u'"", ""l'"", 'b', 'l', ""b'""]"
000110000011,"['b', 'u', ""b'"", ""u'"", ""b'"", 'r', 'b', ""r'""]"
010000010101,"['f', 'r', 'u', ""r'"", ""u'"", ""f'""]"
000010101010,"['l', 'f', 'u', ""f'"", ""u'"", ""l'""]"
010101010000,"['b', 'l', 'u', ""l'"", ""u'"", ""b'""]"
101010000010,"['r', 'b', 'u', ""b'"", ""u'"", ""r'""]"
000111000111,"['r', 'u2', 'r2', ""u'"", 'r', ""u'"", ""r'"", 'u2', 'f', 'r', ""f'""]"
111000111000,"['f', 'u2', 'f2', ""u'"", 'f', ""u'"", ""f'"", 'u2', 'l', 'f', ""l'""]"
000111000111,"['l', 'u2', 'l2', ""u'"", 'l', ""u'"", ""l'"", 'u2', 'b', 'l', ""b'""]"
111000111000,"['b', 'u2', 'b2', ""u'"", 'b', ""u'"", ""b'"", 'u2', 'r', 'b', ""r'""]"
010101010101,"['l', 'f', ""l'"", 'u', 'r', ""u'"", ""r'"", 'u', 'r', ""u'"", ""r'"", 'l', ""f'"", ""l'""]"
101010101010,"['b', 'l', ""b'"", 'u', 'f', ""u'"", ""f'"", 'u', 'f', ""u'"", ""f'"", 'b', ""l'"", ""b'""]"
010101010101,"['r', 'b', ""r'"", 'u', 'l', ""u'"", ""l'"", 'u', 'l', ""u'"", ""l'"", 'r', ""b'"", ""r'""]"
101010101010,"['f', 'r', ""f'"", 'u', 'b', ""u'"", ""b'"", 'u', 'b', ""u'"", ""b'"", 'f', ""r'"", ""f'""]"
110101011000,"['f', 'u', 'r', ""u'"", ""r'"", 'u', 'r', ""u'"", ""r'"", ""f'""]"
101011000110,"['l', 'u', 'f', ""u'"", ""f'"", 'u', 'f', ""u'"", ""f'"", ""l'""]"
011000110101,"['b', 'u', 'l', ""u'"", ""l'"", 'u', 'l', ""u'"", ""l'"", ""b'""]"
000110101011,"['r', 'u', 'b', ""u'"", ""b'"", 'u', 'b', ""u'"", ""b'"", ""r'""]"
100111001010,"[""r'"", ""u'"", 'r', ""u'"", ""r'"", 'u', ""f'"", 'u', 'f', 'r']"
111001010100,"[""f'"", ""u'"", 'f', ""u'"", ""f'"", 'u', ""l'"", 'u', 'l', 'f']"
001010100111,"[""l'"", ""u'"", 'l', ""u'"", ""l'"", 'u', ""b'"", 'u', 'b', 'l']"
010100111001,"[""b'"", ""u'"", 'b', ""u'"", ""b'"", 'u', ""r'"", 'u', 'r', 'b']"
000001011011,"[""l'"", 'b2', 'r', 'b', ""r'"", 'b', 'l']"
001011011000,"[""b'"", 'r2', 'f', 'r', ""f'"", 'r', 'b']"
011011000001,"[""r'"", 'f2', 'l', 'f', ""l'"", 'f', 'r']"
011000001011,"[""f'"", 'l2', 'b', 'l', ""b'"", 'l', 'f']"
110100000110,"['l', 'f2', ""r'"", ""f'"", 'r', ""f'"", ""l'""]"
100000110110,"['b', 'l2', ""f'"", ""l'"", 'f', ""l'"", ""b'""]"
