pattern,alg
102313031220,"['l', 'u', ""l'"", 'b2', ""d'"", 'r', ""u'"", ""r'"", 'u', ""r'"", 'd', 'b2']"
313031220102,"['f', 'u', ""f'"", 'l2', ""d'"", 'b', ""u'"", ""b'"", 'u', ""b'"", 'd', 'l2']"
001220112333,"[""r'"", 'u2', 'r', 'u', ""r'"", ""u2'"", 'l', ""u'"", 'r', 'u', ""l'""]"
220112333001,"[""b'"", 'u2', 'b', 'u', ""b'"", ""u2'"", 'f', ""u'"", 'b', 'u', ""f'""]"
112333001220,"[""l'"", 'u2', 'l', 'u', ""l'"", ""u2'"", 'r', ""u'"", 'l', 'u', ""r'""]"
333001220112,"[""f'"", 'u2', 'f', 'u', ""f'"", ""u2'"", 'b', ""u'"", 'f', 'u', ""b'""]"
011200122333,"['r', 'u2', ""r'"", ""u'"", 'r', 'u2', ""l'"", 'u', ""r'"", ""u'"", 'l']"
200122333011,"['b', 'u2', ""b'"", ""u'"", 'b', 'u2', ""f'"", 'u', ""b'"", ""u'"", 'f']"
122333011200,"['l', 'u2', ""l'"", ""u'"", 'l', 'u2', ""r'"", 'u', ""l'"", ""u'"", 'r']"
333011200122,"['f', 'u2', ""f'"", ""u'"", 'f', 'u2', ""b'"", 'u', ""f'"", ""u'"", 'b']"
022311200133,"['r', ""u'"", 'l', 'u2', ""r'"", 'u', ""l'"", 'r', ""u'"", 'l', 'u2', ""r'"", 'u', ""l'""]"
311200133022,"['b', ""u'"", 'f', 'u2', ""b'"", 'u', ""f'"", 'b', ""u'"", 'f', 'u2', ""b'"", 'u', ""f'""]"
200133022311,"['l', ""u'"", 'r', 'u2', ""l'"", 'u', ""r'"", 'l', ""u'"", 'r', 'u2', ""l'"", 'u', ""r'""]"
133022311200,"['f', ""u'"", 'b', 'u2', ""f'"", 'u', ""b'"", 'f', ""u'"", 'b', 'u2', ""f'"", 'u', ""b'""]"
002331220113,"[""r'"", 'u', ""l'"", 'u2', 'r', ""u'"", 'l', ""r'"", 'u', ""l'"", 'u2', 'r', ""u'"", 'l']"
331220113002,"[""b'"", 'u', ""f'"", 'u2', 'b', ""u'"", 'f', ""b'"", 'u', ""f'"", 'u2', 'b', ""u'"", 'f']"
220113002331,"[""l'"", 'u', ""r'"", 'u2', 'l', ""u'"", 'r', ""l'"", 'u', ""r'"", 'u2', 'l', ""u'"", 'r']"
113002331220,"[""f'"", 'u', ""b'"", 'u2', 'f', ""u'"", 'b', ""f'"", 'u', ""b'"", 'u2', 'f', ""u'"", 'b']"
032310101223,"['r', 'u2', ""r'"", 'u2', 'r', ""b'"", ""r'"", ""u'"", 'r', 'u', 'r', 'b', 'r2']"
310101223032,"['b', 'u2', ""b'"", 'u2', 'b', ""l'"", ""b'"", ""u'"", 'b', 'u', 'b', 'l', 'b2']"
101223032310,"['l', 'u2', ""l'"", 'u2', 'l', ""f'"", ""l'"", ""u'"", 'l', 'u', 'l', 'f', 'l2']"
223032310101,"['f', 'u2', ""f'"", 'u2', 'f', ""r'"", ""f'"", ""u'"", 'f', 'u', 'f', 'r', 'f2']"
010102321233,"[""r'"", 'u2', 'r', 'u2', ""r'"", 'f', 'r', 'u', ""r'"", ""u'"", ""r'"", ""f'"", ""r2'""]"
102321233010,"[""b'"", 'u2', 'b', 'u2', ""b'"", 'r', 'b', 'u', ""b'"", ""u'"", ""b'"", ""r'"", ""b2'""]"
321233010102,"[""l'"", 'u2', 'l', 'u2', ""l'"", 'b', 'l', 'u', ""l'"", ""u'"", ""l'"", ""b'"", ""l2'""]"
233010102321,"[""f'"", 'u2', 'f', 'u2', ""f'"", 'l', 'f', 'u', ""f'"", ""u'"", ""f'"", ""l'"", ""f2'""]"
001230122313,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r2', ""u'"", ""r'"", ""u'"", 'r', 'u', ""r'"", ""f'""]"
230122313001,"['b', 'u', ""b'"", ""u'"", ""b'"", 'r', 'b2', ""u'"", ""b'"", ""u'"", 'b', 'u', ""b'"", ""r'""]"
122313001230,"['l', 'u', ""l'"", ""u'"", ""l'"", 'b', 'l2', ""u'"", ""l'"", ""u'"", 'l', 'u', ""l'"", ""b'""]"
313001230122,"['f', 'u', ""f'"", ""u'"", ""f'"", 'l', 'f2', ""u'"", ""f'"", ""u'"", 'f', 'u', ""f'"", ""l'""]"
002321210133,"[""r'"", 'u', ""r'"", ""u'"", ""b'"", ""r'"", 'b2', ""u'"", ""b'"", 'u', ""b'"", 'r', 'b', 'r']"
321210133002,"[""b'"", 'u', ""b'"", ""u'"", ""l'"", ""b'"", 'l2', ""u'"", ""l'"", 'u', ""l'"", 'b', 'l', 'b']"
210133002321,"[""l'"", 'u', ""l'"", ""u'"", ""f'"", ""l'"", 'f2', ""u'"", ""f'"", 'u', ""f'"", 'l', 'f', 'l']"
133002321210,"[""f'"", 'u', ""f'"", ""u'"", ""r'"", ""f'"", 'r2', ""u'"", ""r'"", 'u', ""r'"", 'f', 'r', 'f']"
002311230123,"['f', 'r', ""u'"", ""r'"", ""u'"", 'r', 'u', ""r'"", ""f'"", 'r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
311230123002,"['r', 'b', ""u'"", ""b'"", ""u'"", 'b', 'u', ""b'"", ""r'"", 'b', 'u', ""b'"", ""u'"", ""b'"", 'r', 'b', ""r'""]"
230123002311,"['b', 'l', ""u'"", ""l'"", ""u'"", 'l', 'u', ""l'"", ""b'"", 'l', 'u', ""l'"", ""u'"", ""l'"", 'b', 'l', ""b'""]"
123002311230,"['l', 'f', ""u'"", ""f'"", ""u'"", 'f', 'u', ""f'"", ""l'"", 'f', 'u', ""f'"", ""u'"", ""f'"", 'l', 'f', ""l'""]"
